src_ip,dst_ip,Src Port,Dst Port,Protocol,Timestamp,Flow Duration,Flow Byts/s,Flow Pkts/s,Fwd Pkts/s,Bwd Pkts/s,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Pkt Len Max,Pkt Len Min,Pkt Len Mean,Pkt Len Std,Pkt Len Var,Fwd Header Len,Bwd Header Len,Fwd Seg Size Min,Fwd Act Data Pkts,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Flow IAT Std,Fwd IAT Tot,Fwd IAT Max,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Tot,Bwd IAT Max,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Init Fwd Win Byts,Init Bwd Win Byts,Active Max,Active Min,Active Mean,Active Std,Idle Max,Idle Min,Idle Mean,Idle Std,Fwd Byts/b Avg,Fwd Pkts/b Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Blk Rate Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,CWE Flag Count,Subflow Fwd Pkts,Subflow Bwd Pkts,Subflow Fwd Byts,Subflow Bwd Byts,Label
127.0.0.1,127.0.0.1,19979,20000,6,2026-05-12 07:27:05,0.000633,1154818.3254344391,18957.34597156398,11058.451816745655,7898.894154818326,7,5,426,305,74,56,60.85714285714285,6.401530429259451,73,56,61.0,6.752777206453653,74,56,60.91666666666666,6.550551291473277,42.90972222222222,140,100,20,1,5.754545454545454e-05,0.000296,0.0,7.731795467873215e-05,0.000633,0.000346,0.0,0.0001055,0.0001117269737649,0.000556,0.000296,4.9e-05,0.000139,9.353876201874812e-05,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,60.91666666666666,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.85714285714285,61.0,0,7,5,426,305,DNP3_INFO
127.0.0.1,127.0.0.1,50567,20000,6,2026-05-12 07:26:40,0.0006,1218333.3333333335,20000.0,11666.666666666668,8333.333333333334,7,5,426,305,74,56,60.85714285714285,6.401530429259451,73,56,61.0,6.752777206453653,74,56,60.91666666666666,6.550551291473277,42.90972222222222,140,100,20,1,5.454545454545454e-05,0.000206,0.0,5.601682155853419e-05,0.0006,0.000258,0.0,0.0001,8.56290449166247e-05,0.0004549999999999,0.000206,1.7e-05,0.0001137499999999,6.699393629277205e-05,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,60.91666666666666,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.85714285714285,61.0,0,7,5,426,305,DNP3_INFO
127.0.0.1,127.0.0.1,30480,20000,6,2026-05-12 07:28:15,0.000441,1365079.3650793652,22675.736961451246,13605.442176870749,9070.2947845805,6,4,370,232,74,56,61.66666666666666,6.574360974438674,64,56,58.0,3.4641016151377544,74,56,60.2,5.8275209137333865,33.96,120,80,20,1,4.9000000000000005e-05,0.000194,0.0,5.863635580612273e-05,0.000429,0.000238,0.0,8.58e-05,8.684791304343473e-05,0.000339,0.000194,5.3e-05,0.000113,5.94474557908074e-05,1,0,0,0,2,3,0,1,8,0,0,0.6666666666666666,60.2,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.66666666666666,58.0,0,6,4,370,232,DNP3_INFO
127.0.0.1,127.0.0.1,24684,20000,6,2026-05-12 07:26:38,0.000434,1684331.7972350232,27649.769585253456,16129.032258064515,11520.73732718894,7,5,426,305,74,56,60.85714285714285,6.401530429259451,73,56,61.0,6.752777206453653,74,56,60.91666666666666,6.550551291473277,42.90972222222222,140,100,20,1,3.9454545454545455e-05,0.000133,0.0,3.855424428083263e-05,0.000434,0.000177,0.0,7.233333333333333e-05,5.700487308604025e-05,0.000359,0.000141,2.1e-05,8.975000000000001e-05,4.971606883091221e-05,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,60.91666666666666,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.85714285714285,61.0,0,7,5,426,305,DNP3_INFO
127.0.0.1,127.0.0.1,7795,20000,6,2026-05-12 07:27:25,0.000648,1128086.4197530863,18518.51851851852,10802.469135802468,7716.049382716049,7,5,426,305,74,56,60.85714285714285,6.401530429259451,73,56,61.0,6.752777206453653,74,56,60.91666666666666,6.550551291473277,42.90972222222222,140,100,20,1,5.890909090909092e-05,0.00025,0.0,6.499154426882223e-05,0.000648,0.000316,0.0,0.000108,9.822083960816732e-05,0.000563,0.00025,4.2e-05,0.00014075,7.397085574738203e-05,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,60.91666666666666,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.85714285714285,61.0,0,7,5,426,305,DNP3_INFO
127.0.0.1,127.0.0.1,39356,20000,6,2026-05-12 07:28:31,0.000765,935947.7124183008,15686.274509803923,9150.326797385622,6535.947712418301,7,5,418,298,66,56,59.71428571428572,4.333071682315172,66,56,59.6,4.454211490264017,66,56,59.66666666666666,4.384315479321969,19.222222222222225,140,100,20,1,6.954545454545455e-05,0.000394,0.0,0.0001046547255036,0.000765,0.000456,0.0,0.0001275,0.0001536269833069,0.000664,0.000394,7.2e-05,0.000166,0.0001332741535332,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,59.66666666666666,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.71428571428572,59.6,0,7,5,418,298,DNP3_ENUMERATE
127.0.0.1,127.0.0.1,21560,20000,6,2026-05-12 07:27:25,0.000452,1617256.6371681415,26548.67256637168,15486.725663716814,11061.946902654869,7,5,426,305,74,56,60.85714285714285,6.401530429259451,73,56,61.0,6.752777206453653,74,56,60.91666666666666,6.550551291473277,42.90972222222222,140,100,20,1,4.109090909090909e-05,0.000206,0.0,5.5595052993547646e-05,0.000452,0.000235,0.0,7.533333333333333e-05,7.648020804248785e-05,0.000371,0.000206,2.1e-05,9.275e-05,6.905930422470241e-05,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,60.91666666666666,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.85714285714285,61.0,0,7,5,426,305,DNP3_INFO
127.0.0.1,127.0.0.1,1350,20000,6,2026-05-12 07:26:18,0.000573,1275741.710296684,20942.40837696335,12216.404886561952,8726.003490401396,7,5,426,305,74,56,60.85714285714285,6.401530429259451,73,56,61.0,6.752777206453653,74,56,60.91666666666666,6.550551291473277,42.90972222222222,140,100,20,1,5.209090909090908e-05,0.000195,0.0,4.908148057605017e-05,0.0005729999999999,0.000271,0.0,9.55e-05,9.063617747161818e-05,0.000474,0.000195,2.8e-05,0.0001185,6.08789783094296e-05,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,60.91666666666666,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.85714285714285,61.0,0,7,5,426,305,DNP3_INFO
127.0.0.1,127.0.0.1,51596,20000,6,2026-05-12 07:26:54,0.000483,1517598.3436853003,24844.72049689441,14492.753623188406,10351.966873706004,7,5,428,305,76,56,61.142857142857146,6.998542122237651,73,56,61.0,6.752777206453653,76,56,61.083333333333336,6.897563982225094,47.57638888888889,140,100,20,1,4.3909090909090906e-05,0.00017,0.0,4.4250227622330935e-05,0.000483,0.000209,0.0,8.05e-05,6.471153941402827e-05,0.000401,0.00017,1.4e-05,0.00010025,5.954147713988964e-05,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,61.083333333333336,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.142857142857146,61.0,0,7,5,428,305,DNP3_INFO
127.0.0.1,127.0.0.1,35898,20000,6,2026-05-12 07:14:34,0.502201,13130.200855832623,203.10592770623717,103.54419843847384,99.5617292677633,52,50,3407,3187,77,56,65.51923076923077,9.437018728666756,73,44,63.74,8.785920555069913,77,44,64.6470588235294,9.166913072078822,84.03229527104959,1040,1000,20,25,0.0049722871287128,0.024982,0.0,0.0088339519825742,0.5019790000000002,0.024982,0.0,0.009842725490196,0.0103274842542936,0.502148,0.025106,7.7e-05,0.0102479183673469,0.0104758206922899,25,23,0,0,1,3,1,48,99,0,0,0.9615384615384616,64.6470588235294,65228,65228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.51923076923077,63.74,0,52,50,3407,3187,NORMAL
